コンテンツ,動画のタイトル,動画公開時刻,長さ,視聴回数
-PE-w0m_cHc,【神トップス７選】アパレル社長が教える春に絶対買うべきアイテム教えます！,"Jan 4, 2024",770,159930
DBCXNqVYrno,【今年イケてるパンツ】春に絶対買うべきパンツ７選！〇〇は必ず持つべし！,"Jan 3, 2024",628,70497
2yu6P5bQz6k,【99.9%モテるアウター７選】※ファッション不安な人限定‼ 絶対買うべきアウター教えます！コレ買えばOK！,"Jan 2, 2024",595,195343
UQjtKboRWkA,【成功する】春に絶対買うべきメンズ服７選教えちゃいます。初級編！2024ver,"Jan 1, 2024",919,296030
uqEIH8maZnY,今までありがとうございました。,"Dec 28, 2023",616,74978
QV0I8fj34kM,【2024年絶対買うべき７選】アパレル社長が2024年の流行を大胆予測！国内トレンド編,"Dec 27, 2023",773,165340
1zYBYwGTLw0,【2024春夏に流行る服】この動画で先取り！アパレル社長が教える2024に買うべきアイテム５選！海外トレンド編,"Dec 26, 2023",767,309299
j_ChnHyzKss,【美容のこと全部教えます】29歳アパレル社長がやってる美容関連のこと教えます。めんどくせぇけど、頑張ってます。,"Dec 25, 2023",1488,31649
56BNRfd2gl0,【今年最後の爆買い】アパレル社長が冬に購入したアイテムを大量にご紹介します。COMOLI / SUNSEA / SHINYAKOZUKA …,"Dec 24, 2023",1601,42808
miVDonVMzD8,【大大大感謝セール】WYM(ウィム)で早い者勝ちのMAX90%オフの新春セールやります！！ありがとうございましたぁあああ！,"Dec 23, 2023",1267,167721
vLaOl8Vq1RY,【緊急】LIDNM Llifeについて緊急で動画を撮りました。ご報告がございます。,"Dec 22, 2023",1000,47342
MNdBSFJafs0,【普通の巻き方は損!?】今イケてるマフラーの巻き方を服のプロが教えます！,"Dec 21, 2023",956,58934
H0LhRsKBdUI,【9割が〇〇という衝撃】街の女性に黒スキニーvsワイドパンツを聞いた結果、衝撃受けた。。。,"Dec 20, 2023",1775,118738
pdS4fOZCeAU,【絶対買い】ユニクロと無印の神パンツ7選！レディースだから人と被らないし、めちゃおすすめ！,"Dec 19, 2023",1038,101132
GVxoa4rmhfM,【ドメやめてUNIQLO買った】ユニクロのチェスターが1周まわって最高な件。,"Dec 18, 2023",847,97453
V__CH8E1QxY,【コスパ最強で最強にモテるユニクロのニット】使いやすくてめちゃおすすめのニットをご紹介！とりあえず買ってみて！Llife Pre Spring 12/16(Sat) RELEASE.,"Dec 16, 2023",829,110874
KvfESSD7mBo,【無印でバズってるアウター】デザイン◎コスパ◯だけど、ココがダメです。Llife Pre Spring 12/16(Sat) RELEASE.,"Dec 15, 2023",845,50442
P4C7GZbszKo,【ぶっちゃけ良きです】まだチェックしてないの！？！？プロがH&MとZARAで今買うべき服をランキングでご紹介！Llife Pre Spring 12/16(Sat) RELEASE.,"Dec 14, 2023",4378,31884
zL5BDTw74gI,【THE NORTH FACE】ヌプシ？バルトロ？いいえ、〇〇です。Llife Pre Spring 12/16(Sat) RELEASE.,"Dec 13, 2023",1197,150621
cNilqveh0Is,【ダウン全部紹介】あなたはどのダウンを買う？全て紹介するから選んでみて！THE NORTH FACEからユニクロまで！Llife Pre Spring 12/16(Sat) RELEASE.,"Dec 12, 2023",848,47177
f67QLUUFqMU,【本気のダウンマニア】ZOZO1位ダウンを作るほどのダウン大好きマンがダウンについて語ります。Llife Pre Spring 12/16(Sat) RELEASE.,"Dec 11, 2023",955,108431
LJ2-_kRrBeM,え？？やばくない？？,"Dec 10, 2023",574,37087
Re82ZYwz_os,【人生の節目に寄り添う、Llifeの一着】時代を超えて大切な時に着て欲しい究極のセットアップが完成しました。Llife Pre Spring 12/16(Sat) RELEASE.,"Dec 9, 2023",1122,50014
wmqlbDCso6k,【爆買いすぎて】総額100万円越え！！プロが大感動した服を徹底解説！AURALEE/Graphpaper/COMOLI/JIL SANDERなど,"Dec 8, 2023",1533,43727
Jdix-P-BJyY,【見ないで行くと後悔します】ユニクロGUで冬に絶対買うべきアイテムの全てを教えます！,"Dec 6, 2023",4729,121673
--QI0sRl5BE,【価格順クリスマスプレゼント】女子が絶対に喜ぶギフトRankingベスト21！友達 彼女 妻へ,"Dec 4, 2023",1201,117861
8--TK-a-UuY,【ZARAが超進化】大人な方にオススメしたいTOP3！！ 服のプロが解説します。トレンド◎クオリティ◎コスパ◎,"Dec 3, 2023",772,61273
QQWIHJXnCHw,【絶対成功するトップス】街の女性にモテるトップス聞いてみた！！〇〇着てたら最高です。,"Dec 2, 2023",2070,101300
3LUtSaFNEbk,NIKE adidas newbalance 辞めちゃうかも。スニーカー史上1位に巡り合いました！,"Dec 1, 2023",1094,389187
2rC5vydAsPo,【H&Mの激安アクセ】が、ぶっちゃけやばいっす！！！言いたくないけどヤバいっす！！！！,"Nov 30, 2023",906,31307
IRE585ugy-M,【人気絶頂→今見ない】超人気だったのに個人的に消えてしまったメンズブランド7選。。。,"Nov 29, 2023",1074,103694
K0D6pAz-_pU,【ZARA絶対買いランキング】服のプロがオススメするアイテムBEST8！めっちゃいいじゃん。。。！！,"Nov 28, 2023",1005,86236
zD2IrElrA2Y,【UNIQLO GUって実際どう？】メンズ激安プチプラコーデを美女4人が辛辣レビュー⁉www 真冬はダウン？コート？,"Nov 27, 2023",2324,85361
a0r8sQ6peT0,【H&Mあなどらないで】被らないしめっちゃいい！冬に買うべきアイテムBEST3！後編,"Nov 25, 2023",864,54655
zAjaaXvzTm8,【舐めたらアカン】H&Mで爆買いしたので買うべきアイテムBEST10をご紹介！前編,"Nov 23, 2023",1125,84673
WCumDNKHBCo,【UNIQLO新作黄金アイテム】ユニクロで冬に絶対買うべきメンズ服7点はこれだ！2023ver,"Nov 22, 2023",967,441755
4ZBgeGTA1cU,【危険すぎる】最新のNGメンズ服をアパレル社長が大発表します！後編,"Nov 21, 2023",585,88760
2gd5L6_vB74,【それ、ダサいです】着てたら女性にドン引きされるかもしれないメンズNGファッション20選！前編！,"Nov 19, 2023",1134,219296
fdOuhRzyqKc,【大人もGUの時代です】渋くて高見えする神アウターを見つけちゃいました。LIDNM will be finally released today.,"Nov 18, 2023",677,92946
wpLW6hGXPZY,【ちょ、やばいて】全員１着買うべきユニクロの神アイテムをご紹介！絶対買いすぎて震えてます。。。LIDNM 23WINTER 2ND COLLECTION 11/18(Sat) RELEASE,"Nov 17, 2023",729,204589
xRdwYZ4jiJ0,【プロも思わず大絶賛】GUで絶対買いなアイテム発見！！まだ買ってない人は絶対1度はチェックしてみて！LIDNM 23WINTER 2ND COLLECTION 11/18(Sat) RELEASE,"Nov 16, 2023",921,111542
sKwpiYzJxVE,【服好きの出社コーデ】冬は、モノトーンに差し色のブラウンが気分。DAIRIKU / COMOLI... LIDNM 23WINTER 2ND COLLECTION 11/18(Sat) RELEASE,"Nov 15, 2023",430,43081
1Z9fT9p9lUA,【もはやエ◯い】服好き歓喜！冬に着たかったアウターニットパンツ揃えました。。LIDNM 23WINTER 2ND COLLECTION 11/18(Sat) RELEASE,"Nov 12, 2023",202,48721
LQxK1-byRhA,【ダウン史上最高傑作】冗談抜きで今季のダウン、超超超エグいです。※もう一度言います、超超超エグいです。LIDNM 23WINTER 2ND COLLECTION 11/18(Sat) RELEASE.,"Nov 11, 2023",1227,77083
k8DYt0hugAY,【超辛口レビュー】ユニクロ×JW ANDERSONのコラボ買ってみたものの、正直微妙です。,"Nov 9, 2023",704,71565
pJaJRK9wGUw,【髪切ったぞい】センターパート？マッシュ？ いいえ。時代はシースルーマッシュが気分です。,"Nov 8, 2023",667,34902
MuaGibCr2-A,【ご報告】九州の方お待たせしました。遂にお知らせ出来ます！！！,"Nov 6, 2023",439,36224
A8z4nB3AV3c,【成功する】冬に絶対買うべきメンズ服7選教えちゃいます。上級編！2023ver,"Nov 5, 2023",371,53586
eL9tIIOJ7Kg,【カーゴパンツの教科書】真似するだけで最強コーデ完成！トレンド◎お洒落◎モテ◎WYM 23WINTER 2ND 11/3(FRI) RELEASE.,"Nov 3, 2023",533,59712
Cgh5hFHQCM0,【冬の最重要アイテム】ダウンの攻略方法教えます！NG服とOK服もご紹介！！WYM 23WINTER 2ND 11/3(FRI) RELEASE.,"Nov 2, 2023",573,77975
WiLGKruUVwg,【気温別コーデの教科書】間違えると恥ずかしい⁉︎意外とミスりがちな気温別コーデをご紹介！WYM 23WINTER 2ND 11/3(FRI) RELEASE.,"Nov 1, 2023",925,135146
q_j4VXmRZPU,【すんげぇwww】ユニクロ発売ほやほやで被らない神アイテムあったwwwwマジ安すぎ。。WYM 23WINTER 2ND 11/3(FRI) RELEASE.,"Oct 30, 2023",748,132582
PFhILufw-nw,【モテる真冬コーデ】コーデ丸ごと真似する！？ZOZOで買える最強メンズコーデ教えちゃいます。WYM 23WINTER 2ND 11/3(FRI) RELEASE.,"Oct 29, 2023",781,62129
BtfRMu0v2Zc,【秋冬モテ服】ZOZO、UNIQLOで組める絶対お洒落に思われる最強コーデを特別に教えちゃいます！WYM 23WINTER 2ND 11/3(FRI) RELEASE.,"Oct 28, 2023",1023,50757
VHT7wRbJXac,【最　強　ダ　ウ　ン　爆　誕】WYM史上最高傑作のダウンが完成。安心してください今季も価格バグってます。WYM 23WINTER 2ND COLLECTION 11/3(FRI) RELEASE.,"Oct 27, 2023",1914,157072
3n7WWjBKayw,【神アウター3選】迷った人はコレを押さえて！今一番キテるアウター教えます！,"Oct 26, 2023",713,133251
nWRjbhorIfU,【モテるアウターランキング】可愛い女性に聞いた結果、1位は〇〇でした。。。,"Oct 25, 2023",1820,149058
XmGnZoedfgU,【※見逃し厳禁※】GUで学生から大人までオススメできる神アイテム5選ご紹介！！,"Oct 24, 2023",1089,155800
cgGU6upu534,【ダウン徹底解説 2023ver】今、お洒落にカッコよくみえる最強ダウン教えます。カラー / 素材 / デザイン【完全保存版】,"Oct 22, 2023",1085,97264
nfLt_q8gwBo,【プロも思わず買った】ユニクロGUで今買うべき神アイテムまとめ！LIDNM will be finally released today.,"Oct 21, 2023",7240,115833
aQ3dDwd0DDY,【お洒落はモテる】〇〇にこだわれ⁉︎上級者だけが知ってるファッションのコツ7つ教えます！LIDNM WINTER 10/21(Sat) RELEASE.,"Oct 20, 2023",1084,47153
EOvPUkScsZk,"【冬のファッション悩んでない？？】押さえるだけでお洒落になれる""超重要なこと""7つ教えます！","Oct 19, 2023",970,150938
Lg1Q1jeL9Go,"【服好きの秋冬コーデ】アパレル社長のガチお気に入りアイテムだけで作る最強の秋冬コーデ！LIDNMやWYM, ドメブラからインポートまで！LIDNM WINTER 10/21(Sat) RELEASE.","Oct 17, 2023",629,38765
mNSBlIT50FI,【もう迷わない】服のプロが今シャレてる大人コーデを教えます！コレで今年の冬は安心！LIDNM WINTER 10/21(Sat) 22時00分 RELEASE.,"Oct 15, 2023",304,40906
YjaYQ33nxFI,【今からとんでもない事言います】日本に一台しかない250年前の英式紡績機を使用した超高品質原料を今年はLIDNMが世界で唯一使用したコレクションを発売。LIDNM 10/21 RELEASE.,"Oct 14, 2023",2984,70177
xHzppTbXI_8,【GUの進化が止まらない】この価格で買える事が驚き。。。ってレベルの神アイテム紹介します！,"Oct 13, 2023",1086,165498
U1AzvP9gnGU,【本当は教えたくないブランド】総額100万円の爆買いしたったｗｗｗ有名ドメブラも大量購入！！LEMAIRE Graphpaper Maison Margiela,"Oct 12, 2023",1211,47777
UoBlG-6SjAg,【成功する】冬に絶対買うべきメンズ服7選教えちゃいます！2023ver 中級編,"Oct 11, 2023",695,66149
2KaDQOIfRzg,【ユニクロU完全レビュー】ファッションプロが新作を徹底評価！その結果は…正直〇〇でした。【UNIQLO U】,"Oct 7, 2023",1320,115150
ul20DhUhMoE,【ユニクロU神アイテムBEST７】全部買った男が今すぐ買うべきアイテム教えます！！第1位はまじでやばかった！！【UNIQLO U】,"Oct 6, 2023",1616,336834
DnMy7EFyUL8,【今モテるメンズ服】女性が本気で惚れちゃうメンズ服を徹底調査しました！ WYM 23WINTER 1ST COLLECTION 10/6(FRI) RELEASE.,"Oct 5, 2023",2241,168168
P9PHVIvTPd8,【脱おじさん】大人のNG服(ユニクロ)をZOZOの最新服に‼ 40代50代諦めてた方必見！WYM 23WINTER 1ST COLLECTION 10/6(FRI) RELEASE.,"Oct 3, 2023",2214,55040
aHxMlbI14Dw,【真似たらモテる】ZOZOで完成するコスパ◎トレンド◎の最強コーデを服のプロが教えます！WYM 23WINTER 1ST COLLECTION 10/6(FRI) RELEASE.,"Oct 2, 2023",824,55131
-mZuaRXo6b4,【冬の神コーデ12選】冬コーデはコレでOK！という最強のコーデ教えます！WYM 23WINTER 1ST COLLECTION 10/6(FRI) RELEASE.,"Sep 30, 2023",894,65129
kBplho882yM,【WYM史上最強コート爆誕】あのブルゾンやデザインニットもあるんです。服好きは悶絶してくだい。。。全世代に着てほしくて価格崩壊しちゃいました。。 WYM 10/6(FRI) RELEASE.,"Sep 29, 2023",2301,166443
ePmYJP-XD8U,【日本一わかりやすい】ニットで速攻お洒落になれる選び方徹底解説！これでもう失敗しない。【永久保存版】,"Sep 28, 2023",1466,95016
zZfkcZY6RFo,【冬の大注目アイテム40選】メンズ服を完全攻略できちゃう神リストを大公開！,"Sep 27, 2023",1062,52799
sRfJgw29Cb0,【成功する】冬に絶対買うべきメンズ服7選教えちゃいます。初級編！2023ver,"Sep 26, 2023",1507,213374
6W8A9hRuHGE,【売り切れる前に急いで‼︎】メンズファッション秋冬に絶対買うべき服プロが全て教えちゃいます！2023ver,"Sep 25, 2023",5019,59715
RTMV-jbZcy8,【ゾゾタウン2023秋冬マストバイ‼︎】WYM絶対買うべきメンズ服全部紹介！クオリティ高いのに超安くて脳バグるwww,"Sep 24, 2023",2891,106911
iK1v_8Kh76g,【ファッション初心者必見】秋冬のメンズファッションわからない人この動画を見れば解決します。LIDNM will be finally released today.,"Sep 23, 2023",5586,70302
MyOXQ327yck,【ユニクロの罠】注意喚起!!つい買っちゃう〇〇がNGアイテムでした…！何故お洒落に見せにくいのか解説します！LIDNM  FALL 2ND COLLECTION 9.23 RELEASE.,"Sep 22, 2023",1577,75909
qbg07bR2SNE,【こりゃモテるぞ…】汚部屋から誰もが住みたいお洒落ROOMへ。100万再生の大人気企画の最新版！…LIDNM  FALL 2ND COLLECTION 9.23 RELEASE.,"Sep 21, 2023",1817,54189
lnmGWO8xxnk,【魅力しかない…】こだわりが詰まった秋冬メンズ服をプロ目線で徹底解説します！LIDNM  FALL 2ND COLLECTION 9.23 RELEASE.,"Sep 20, 2023",1081,42255
Pa-TjHeOg9g,【お洒落な大人コーデへ】メンズ服のプロが最強垢抜けテク教えちゃいます！LIDNM  FALL 2ND COLLECTION 9.23 RELEASE.,"Sep 19, 2023",1139,41658
LmVSa6VDuKg,【UNIQLO絶対買い】ユニクロで秋冬に絶対買うべきメンズ服全て教えちゃいます！！2023ver LIDNM  FALL 2ND COLLECTION 9.23 RELEASE.,"Sep 18, 2023",2602,117446
zXb-6pNjsUs,【優勝確定】待望の秋。モテたいなら真似るだけ。至高の服とコーデお見せします。 LIDNM  FALL 2ND COLLECTION 9.23 RELEASE.,"Sep 17, 2023",516,42207
nJYOyxbiHxY,【価格以上の価値】振り切りまくる圧倒的高品質でギリギリの価格設定を。これが真の服作りでありブランド。 LIDNM  FALL 2ND COLLECTION 9.23 RELEASE.,"Sep 16, 2023",2573,73707
eFt7_nKQ9bM,【成功する】秋冬に絶対買うべきメンズ服7選教えちゃいます。上級編！2023ver,"Sep 15, 2023",952,36275
YdzTtuldvrI,【GU最強説】GUで秋冬に絶対買うべきメンズ服全部まとめて教えます！！2023ver,"Sep 14, 2023",4145,116597
unqMy8-qJE4,【価格バグ】UNIQLO GU秋冬新作大量購入！プロが本気でお勧めするアイテム紹介！！,"Sep 13, 2023",780,139023
vhCXWnEghjM,【99.9%モテるファッション7選】※ファッション不安な人限定‼︎ メンズなら絶対損させません。秋冬ver,"Sep 11, 2023",1056,386555
RD2mI3G8CsY,【ご報告】げんじ整形しました。総額いくら？痛かった？全て答えます。,"Sep 10, 2023",1868,181781
umWvOgKT2dI,【は？】WYM×ドメブラが最高すぎて言葉が出ません。。。とりあえず見て。。。WYM will be finally released today.,"Sep 8, 2023",1237,36451
RFkiaGbUepk,【モテるメンズコーデ108選！】ZOZOで買える最強トレンドアイテムで秋冬にモテまくれ！！！ WYM 23AUTUMN 2ND COLLECTION  9.8 RELEASE,"Sep 6, 2023",1146,52819
CikDx-ekbcE,【成功する秋冬メンズコーデBEST10】コレだけ押さえればOK！服のプロが今年絶対に外さない神コーデ教えちゃいます！WYM 23AUTUMN 2ND COLLECTION  9.8 RELEASE,"Sep 5, 2023",1119,53499
EfXKxEENt8g,【失敗しない！】間違いないメンズ秋冬コーデ教えちゃいます！最速でお洒落上級者の仲間入り！WYM 23AUTUMN 2ND COLLECTION  9.8 RELEASE,"Sep 3, 2023",1333,86266
RGq4twKEoFE,【衝　撃　発　表】自信度SSSSSSS級。レザーブルゾンが価格とクオリティがバグってるけどまじで好きすぎるwwwwwWYM 23AUTUMN 2ND COLLECTION  9.8 RELEASE,"Sep 1, 2023",3164,189043
z5Nmf9EFoOA,【マジ簡単】秋コーデの必勝法!? ※実際この色合わせ真似るだけです。,"Aug 30, 2023",1038,76523
eh15VoMqz8w,【UNIQLO神アウター5選】うぉおお、コスパ高すぎるだろぉぉおwwwwwってアイテム紹介します。,"Aug 29, 2023",1244,126940
K_JONqzvlkI,【買うと成功するシャツ】メンズ服のプロが厳選した絶対に後悔しないシャツとは？,"Aug 28, 2023",1626,103003
r9G2qyP6kiM,【アパレル社長購入品】UNIQLO、GU以外だとこんな秋冬服も買ってます!! 超カッケェぇえぇ!!!!!!  | LIDNM will be finally released today.,"Aug 26, 2023",1203,31707
TFYbG7kosd8,【UNIQLO秒速買い】ユニクロで絶対買うべきパンツが秋にも。。。オススメの理由がガチすぎる。。。LIDNM 23 FALL 1ST COLLECTION 8/26 RELEASE,"Aug 25, 2023",878,135656
9ahtM52fXMI,【今買うべきメンズボトム7選】いつも同じボトム穿いてない？それNGです。今っぽいボトムで一気にお洒落な男性に！LIDNM 23 FALL 1ST COLLECTION 8/26 RELEASE,"Aug 24, 2023",1298,104927
Pq4ynLjSvao,【絶対外せないメンズアイテム7選】全て押さえられてる？自信がない人は絶対見てみて！LIDNM 23 FALL 1ST COLLECTION 8/26 RELEASE,"Aug 23, 2023",1515,45302
35wWLfwYWgc,【カッコいいは作れる】大人の魅力を引き出す秋コーデ全て教えます。LIDNM 23 FALL 1ST COLLECTION 8/26 RELEASE,"Aug 22, 2023",387,24708
5H_EeYolK1w,【2023年最強トップス】プロが今年着るとお洒落なトップス教えちゃいます！コレだけ押さえて！LIDNM 23 FALL 1ST COLLECTION 8/26 RELEASE,"Aug 21, 2023",1459,89537
5r0swH3tY-w,【傑作誕生】今年最新の秋コーデランキングが衝撃的すぎる内容でした。。。。LIDNM 23 FALL 1ST COLLECTION 8/26 RELEASE,"Aug 20, 2023",1175,29701
Q_2eSEMXz9E,【争奪戦、始まる】秋冬新作紹介/ブランド創設7年目/更なる衝撃を与える新作をリリース。LIDNM 23 FALL 1ST COLLECTION 8/26 RELEASE,"Aug 19, 2023",2396,63379
eqSzZBmPceA,【99.9%モテる秋アウター9選】※ファッション不安な人限定‼︎ メンズなら絶対損させません。【失敗無し】,"Aug 18, 2023",1673,99346
bAOEyfcRENY,【本当は教えたくない】社長が本気でハマってるブランド5選こっそり教えちゃいます。。,"Aug 17, 2023",1299,39770
KDLuhGW9t40,【プロお墨付き】GUで今買うべきアイテム4選！コレは買わなきゃすぎる！！！,"Aug 16, 2023",1218,98627
q0NeYLpPVQU,【2023年秋冬絶対これ買うべき】プロが絶対押さえるべきトレンド解説しちゃいます！国内ブランド編,"Aug 15, 2023",1276,109284
vod5aA2NAFc,【第一印象】女性に彼氏にしたくない男の特徴TOP3聞いてみた！口臭い/身体が…,"Aug 14, 2023",2219,44077
i5KbVvz7wCk,【1位は完売するから今見て】GU激安新作購入品紹介😭✨！秋冬に絶対必要じゃん！！急げ！！！,"Aug 13, 2023",1441,105949
uMGPMTmyfF4,【メンズトレンドの教科書】プロが23年秋冬に絶対流行るアイテム教えます。海外コレクション編,"Aug 12, 2023",1442,50822
A4GfdKeDxWM,【最高の秋を迎えるために】今押さえるべきモテコーデランキング！今年のトレンドは？WYM will be finally released today.,"Aug 11, 2023",1800,36670
dVVF3ocu10Y,【スキニー？ワイドパンツ？】女性に男の好きなパンツの太さ聞いたら超意外だったwww NGがまさかの。。。,"Aug 9, 2023",1704,229813
EjxhtfjjrpI,【終了のお知らせ】女性に『男の理想のすね毛の濃さ』聞いた結果が酷かった！！WYM Autumn 8.11 release,"Aug 7, 2023",1392,113441
0_rFzY4Z8-Y,【WYM×秋冬】ZOZOTOWNで買える無敵のアウター/完璧なシャツ/褒められパンツを使ったトレンド秋コーデ66！！！WYM Autumn 8.11 release,"Aug 6, 2023",719,35132
vvXYOGjGSoQ,【成功する】秋に絶対買うべきメンズ服7選教えます。初級編！2023 ver,"Aug 5, 2023",1264,132683
NSsdkefyP8Q,【無敵かよw】ZOZOで買えるWYM(ウィム)秋の新作が今年さらに凄すぎて伝説すぎるwwww【絶対買い】WYM  AUTUMN 1ST COLLECTION 8.11 RELEASE,"Aug 4, 2023",2186,106892
zbgyohKPPg4,GU新作パンツが安くてヤバいと話題！プロが実際どうか忖度なしレビュー！購入品レビュー！！,"Aug 2, 2023",1279,100251
MlMQNSqHoLE,【スニーカー？サンダル？】女子が好きな男子の靴聞いてみた！！堂々の1位は〇〇！！ZOZOTOWN NIKE,"Jul 31, 2023",1350,397756
tMgaFNxnBBA,【UNIQLOU絶対買い】夏と秋に最高パンツ！なのに安い！安過ぎる！！めっちゃ苦言も言うけど許して！！LIDNM will be finally released today.,"Jul 29, 2023",897,106166
90q2uio6glA,【意外すぎ‼︎】女子に夏のNG短パン丈聞いてみた‼︎ 嘘でしょ…。メンズ全員見た方が良い…。LIDNM  23PRE FALL COLLECTION 7.29 RELEASE,"Jul 28, 2023",1220,58519
kZHewr23StY,【メンズ服】女子にカッコいいと思う夏服聞いてみた！！夏デートは〇〇〇が最高⁉︎ LIDNM  23PRE FALL COLLECTION 7.29 RELEASE,"Jul 26, 2023",1970,110225
pEkO3RsRRI4,【真似するだけ!!】早くも秋コーデランキング教えちゃいます！絶対にカッコよくなります。2023ver LIDNM  23PRE FALL COLLECTION 7.29 RELEASE,"Jul 25, 2023",1268,39062
FgqsmzcO7x0,【理想が叶う】秋冬俺らが着たいコーデ、服をこの動画に詰め込みました。LIDNM  23PRE FALL COLLECTION 7.29 RELEASE,"Jul 23, 2023",353,26287
20hSQZGqwmU,【もう我慢しない】僕らが着たい物を着る。それを実現するLIDNM 23AW始まります。LIDNM  23PRE FALL COLLECTION 7.29 RELEASE,"Jul 22, 2023",1723,48859
iN5hceTCz1w,【億超え】腕時計の最高峰！超高級ブランド、パテックフィリップの全てを見せます！え、、買ったの！？,"Jul 21, 2023",5727,17656
YrDVbqceIe4,【Amazon爆買い】マジで買ってから人生の幸福感が増したものBEST20をシェアハピ！！枕からインテリアまで紹介！,"Jul 20, 2023",1822,69822
f3bmrrbMIPo,【プロが解説】洗濯ビビるな！1人暮らし男性必須のタグ情報全て解説します！,"Jul 19, 2023",1273,24569
aGBhsu1CzNg,【夏コーデ総集編】UNIQLO GU含んだげんじの2023夏スタイリング全部見せますSP！！！！,"Jul 17, 2023",729,38667
6-dR8gnnnYE,【QOL爆上がり】Amazonで買ってよかったもの全部紹介します！漫画からスマホリングまで！,"Jul 16, 2023",1218,50939
cEDehDp5rm0,【ファッション初心者向け】人からオシャレと思われる、メンズファッションの法則を完全解説 -2023最新版-,"Jul 15, 2023",1850,63268
j_6g0QJUFuw,【ユニクロ夏コーデ】プロが教える簡単に真似できる最強のスタイル24選！,"Jul 14, 2023",462,53674
iuUlETGZwkM,【初心者必見】ファッション諦めた男子が一瞬にかっこよくなる法則と格安コーデ教えます！！,"Jul 13, 2023",1112,31729
1uTc2hhJz1o,【夏服爆買い！】20代アパレル社長がリアルに買った夏服をご紹介！COMOLI/Hender Scheme/韓国ブランドなど,"Jul 12, 2023",742,28307
6-BET-0-xTQ,【眼鏡全部紹介】1ヶ月で100本以上購入した男の、オススメの眼鏡【第1弾】,"Jul 10, 2023",1710,71517
2VuJhhWi7Bg,【重大発表】●●がスタートします,"Jul 9, 2023",690,44006
SaqLEJL5ebM,【ブランド対決】洗濯で一番耐久力があるTシャツは!? UNIQLO vs GU vs WYM vs Champion等で徹底検証してみた！！,"Jul 7, 2023",632,21182
TchVenjzM0M,【白T裏技スペシャル】え？氷だけでヨレが直るのってマジ？？本気で検証してみたwww WYM Summer Collection 7.7 Release,"Jul 5, 2023",720,46211
oHO0xsSayCw,【99.9%モテるファッション7選】※ファッション不安な人限定‼︎ メンズなら絶対損させません。WYM Summer Collection 7.7 Release,"Jul 3, 2023",1169,185897
2jYgPj02kzk,WYM 23SS ACCESSORY COLLECTION,"Jul 1, 2023",91,9101
kFORBs0DBnc,【奇跡のプチプラ】WYM(ウィム)から高級感あるアクセサリーが衝撃の価格でリリース！安すぎて大丈夫そ？？？www WYM Summer Collection 7.7 Release,"Jun 30, 2023",1283,47899
f1xKlvIfKyc,"【夏服購入品紹介】服好きアパレル社長の購入品¥400,000分を紹介します。爆買いが止まりません！！！","Jun 28, 2023",935,24309
JK8mysqoJDU,ヒカルてめえがレビュー動画出せって言ったんだろ？なに逆ギレしてんだよ。(ほんまありがとうな。),"Jun 27, 2023",1784,196745
lspRc8Gs-wA,【UNIQLO絶対買い】夏に買わないと損です。絶対失敗しない超良いアイテムプロが教えます。,"Jun 25, 2023",2962,63805
wVS1BYMs4sA,【全て分かる】夏のメンズコーデの組み方分からない人この動画見れば解決します。まじで変わります。コーデ編！！LIDNM Llife will be finally released today.,"Jun 24, 2023",11303,29101
Va3Krpd-da4,【事件】このブランドやべええええええ！！！この服やべえええええええ！！ってずっと具体的に淡々と夏服購入品語ってます。LIDNM Llife Summer Collection 6.24 Release,"Jun 23, 2023",1063,39914
PWHQqNXlB3w,【至高の夏服7つ厳選】絶対買い！今季ヤバすぎるアイテム神7を紹介！遂にLIDNM編！LIDNM Llife Summer Collection 6.24 Release,"Jun 21, 2023",1582,36129
_jTsgRu67CE,【踏み込んだ100個の質問】速報wwwげんじ誕生日だからなんでも答えてしまうwwwww LIDNM Llife Summer Collection 6.24 Release,"Jun 19, 2023",2968,26398
MxeWpD2BwMA,【ヤバい。閲覧注意】夏にマストアイテムを全部使って夏コーデ組みました。欲しくなり過ぎちゃうので気をつけてください。,"Jun 18, 2023",392,32026
P8RkYEhiJPI,【夏服とアクセサリーと香水】沼らせる香水作りました。最高な夏専用スラックスとシャツ、そして至高アクセサリーも、、、 LIDNM Llife Summer Collection 6.24 Release,"Jun 17, 2023",1698,32662
aQnd1IJdfT4,【夏トレンド◎】アパレル社長の普段のコーデを紹介&解説！割とその日の気分で組んでるよ〜,"Jun 16, 2023",1021,27487
zNaUjBV7rMc,【全て分かる】夏のメンズファッション分からない人この動画見れば解決します。まじで変わります。,"Jun 15, 2023",9602,46499
0iZA0Mk3e1s,【WYM(ZOZO)で夏を‼︎】ウィムで絶対買うべきメンズ服7点はこれ！カッコいいのに安すぎ！！！,"Jun 14, 2023",1735,47024
7qZ0mduY5-o,【UNIQLO新作黄金アイテム】ユニクロで夏に絶対買うべきメンズ服7点！今年は特にヤバすぎる！！,"Jun 13, 2023",1851,159806
rkPLz6tBbhE,【成功する】夏に絶対買うべきメンズ服7選教えちゃいます。上級編！2023ver,"Jun 11, 2023",916,47878
OIBGuJ0SzzY,【最新版】夏コーデ絶対に失敗しない最強色合わせ黄金比教えちゃいます。永久保存版 2023ver,"Jun 10, 2023",826,43499
